controle;ano;MES;titulo;titulo_do;total_rbft;lei;conteudo;DP;cisp;hora_com;hora_fato;bairro_fato;municipio_fato;AISP;RISP;local;sexo;idade;cor;escolaridade;profissao;relacao;bairro_vit;municipio_vit;data_fato;data_com;data_nasc
10996241-2018;2018;março;Morte por Intervenção de Agente do Estado;Morte por intervenção de agente do Estado;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;055a. Queimados;19:13:53;12:00;Vila do tingua;Queimados;AISP 24;RISP 03;Favela;masculino;17;branca;Ignorado;Ignorado;Ignorado;sem informação;sem informação;19/03/2018;19/03/2018;14/08/2000
11000161-2018;2018;dezembro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;125a. São Pedro da Aldeia;125a. São Pedro da Aldeia;19:22:01;21:00;Alecrim;São Pedro da Aldeia;AISP 25;RISP 04;Outros;masculino;20;parda;1º Grau incompleto;Outros;Ignorado;Jardim esperanca;Cabo frio;1/12/2018;7/12/2018;26/02/1998
11004681-2018;2018;fevereiro;Homicídio Provocado por Emprego de Arma Branca;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;066a. Piabetá;13:43:31;07:00;Jardim prainha;Magé;AISP 34;RISP 03;Via pública;masculino; ;parda;Sem informação;sem informação;Ignorado;sem informação;sem informação;9/02/2018;9/02/2018; 
11048031-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;058a. Posse;11:13:34;09:00;Iguacu velho;Nova Iguaçu;AISP 20;RISP 03;Via pública;feminino; ;parda;Sem informação;sem informação;Ignorado;sem informação;sem informação;20/05/2018;20/05/2018; 
11066161-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;044a. Inhaúma;11:22:36;18:00;Engenho da rainha;Rio de Janeiro;AISP 03;RISP 01;Via pública;masculino;20;parda;1º Grau incompleto;Desocupado(a);Nenhuma;Manguinhos;sem informação;7/06/2018;7/06/2018;31/08/1997
11066161-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo - Tentativa;Tentativa de homicídio;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;044a. Inhaúma;11:22:36;18:00;Engenho da rainha;Rio de Janeiro;AISP 03;RISP 01;Via pública;sem informação; ;sem informação;Sem informação;sem informação;Sem informação;sem informação;sem informação;7/06/2018;7/06/2018; 
11066161-2018;2018;junho;Roubo a Estabelecimento Comercial - Tentativa;Outros;não se aplica;Não;casos;Delegacia de Homicídios da Capital;044a. Inhaúma;11:22:36;18:00;Engenho da rainha;Rio de Janeiro;AISP 03;RISP 01;Via pública;não se aplica; ;não se aplica;não se aplica;não se aplica;Não se aplica;não se aplica;não se aplica;7/06/2018;7/06/2018; 
11068131-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;074a. Alcantara;21:54:46;06:00;Marambaia;São Gonçalo;AISP 07;RISP 04;Via pública;masculino;20;parda;Sem informação;sem informação;Ignorado;sem informação;sem informação;4/03/2018;4/03/2018;18/03/1997
11068131-2018;2018;março;Associação para Tráfico de Droga (Lei 11.343/06);Apreensão de drogas;não se aplica;Não;casos;Delegacia de Homicídios de Niterói e São Gonçalo;074a. Alcantara;21:54:46;06:00;Marambaia;São Gonçalo;AISP 07;RISP 04;Via pública;não se aplica; ;não se aplica;não se aplica;não se aplica;Não se aplica;não se aplica;não se aplica;4/03/2018;4/03/2018; 
11068131-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo - Tentativa;Tentativa de homicídio;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;074a. Alcantara;21:54:46;06:00;Marambaia;São Gonçalo;AISP 07;RISP 04;Via pública;masculino;19;parda;2º Grau incompleto;Outros;Ignorado;Marambaia;sem informação;4/03/2018;4/03/2018;25/05/1998
11082671-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;058a. Posse;058a. Posse;11:22:31;11:00;Posse;Nova Iguaçu;AISP 20;RISP 03;Hospital, clinica e similares;masculino; ;ignorado;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;11/06/2018;11/06/2018; 
11092851-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;011a. Rocinha;09:23:11;15:30;Rocinha;Rio de Janeiro;AISP 23;RISP 01;Morro;masculino;40;preta;Sem informação;sem informação;Nenhuma;sem informação;sem informação;9/05/2018;9/05/2018;1/07/1977
11161521-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;035a. Campo Grande;05:14:54;18:00;Campo grande;Rio de Janeiro;AISP 40;RISP 02;Via pública;masculino;34;parda;2º Grau completo;Autônomo(a);Ignorado;Lins de vasconcellos;sem informação;17/05/2018;17/05/2018;30/03/1984
11163581-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;024a. Piedade;17:09:06;09:20;Piedade;Rio de Janeiro;AISP 03;RISP 01;Via pública;masculino;37;branca;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;22/06/2018;22/06/2018;4/03/1981
11163581-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;024a. Piedade;17:09:06;09:20;Piedade;Rio de Janeiro;AISP 03;RISP 01;Via pública;masculino;36;branca;Ignorado;Ignorado;Nenhuma;Piedade;Rio de janeiro;22/06/2018;22/06/2018;30/04/1982
11169601-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;146a. Guarus;146a. Guarus;17:35:27;14:00;Pq santa rosa;Campos dos Goytacazes;AISP 08;RISP 06;Via pública;masculino;17;parda;Alfabetizado(a);Estudante;Ignorado;Pq santa rosa;Campos dos goytacazes;2/09/2018;2/09/2018;5/03/2001
11215392-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;023a. Meier;12:20:49;21:07;Meier;Rio de Janeiro;AISP 03;RISP 01;Hospital, clinica e similares;masculino;23;parda;Ignorado;sem informação;Ignorado;sem informação;sem informação;8/03/2018;9/03/2018;28/12/1994
11263631-2018;2018;abril;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;056a. Comendador Soares;17:52:04;13:00;Ouro preto;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;29;parda;Não alfabetizado(a);Camelô;Ignorado;Monjolo;Sao goncalo;21/04/2018;21/04/2018;1/10/1988
11275971-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;050a. Itaguaí;15:22:52;20:30;Raiz da serra;Itaguaí;AISP 24;RISP 03;Via pública;masculino; ;branca;Sem informação;sem informação;Ignorado;sem informação;sem informação;10/09/2018;11/09/2018; 
11283971-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;056a. Comendador Soares;07:44:05;01:30;Jardim palmares;Nova Iguaçu;AISP 20;RISP 03;Residência;masculino;20;parda;1º Grau incompleto;Desempregado(a);Ignorado;sem informação;Nova iguacu;17/09/2018;17/09/2018;19/05/1998
11300381-2018;2018;julho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;056a. Comendador Soares;07:39:21;11:30;Jd. roma /riachao;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;33;parda;1º Grau incompleto;Desempregado(a);Ignorado;Rosa dos ventos;Nova iguacu;2/07/2018;2/07/2018;5/10/1984
11337271-2018;2018;janeiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;126a. Cabo Frio;126a. Cabo Frio;19:18:42;14:30;Unamar;Cabo Frio;AISP 25;RISP 04;Via pública;masculino;21;parda;Ignorado;Ignorado;Ignorado;Unamar;Cabo frio;6/01/2018;6/01/2018;10/09/1996
11354171-2018;2018;outubro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;062a. Imbariê;06:56:14;18:20;Imbarie;Duque de Caxias;AISP 15;RISP 03;Via pública;masculino;21;preta;Ignorado;Ignorado;Ignorado;sem informação;sem informação;30/10/2018;30/10/2018;21/01/1997
11410951-2018;2018;abril;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;107a. Paraíba do Sul;107a. Paraíba do Sul;21:41:52;16:30;< bairro nao cadastrado >;Paraíba do Sul;AISP 38;RISP 07;Bar/restaurante;masculino;31;preta;2º Grau completo;Desempregado(a);Ignorado;Jatoba;Paraiba do sul;27/04/2018;27/04/2018;24/03/1987
11428461-2018;2018;dezembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;093a. Volta Redonda;093a. Volta Redonda;14:47:10;22:00;Belmonte;Volta Redonda;AISP 28;RISP 05;Ignorado;masculino; ;preta;Ignorado;Ignorado;Ignorado;Belmonte;Volta redonda;3/12/2018;3/12/2018; 
11428461-2018;2018;dezembro;Homicídio Provocado por Projétil de Arma de Fogo - Tentativa;Tentativa de homicídio;não se aplica;Não;vítimas;093a. Volta Redonda;093a. Volta Redonda;14:47:10;22:00;Belmonte;Volta Redonda;AISP 28;RISP 05;Ignorado;masculino;13;branca;1º Grau incompleto;Estudante;Ignorado;Belmonte;Volta redonda;3/12/2018;3/12/2018;6/08/2005
11436361-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;060a. Campos Elíseos;07:40:37;22:00;Saracuruna;Duque de Caxias;AISP 15;RISP 03;Via pública;masculino;22;parda;Ignorado;Desocupado(a);Ignorado;Vila maria helena;Duque de caxias;18/03/2018;19/03/2018;24/04/1995
11446501-2018;2018;fevereiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;126a. Cabo Frio;126a. Cabo Frio;23:21:15;12:30;Centro;Cabo Frio;AISP 25;RISP 04;Via pública;masculino; ;parda;Sem informação;sem informação;Nenhuma;sem informação;sem informação;31/01/2018;1/02/2018; 
11454211-2018;2018;fevereiro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;081a. Itaipú;081a. Itaipú;17:49:24;02:40;Itaipu;Niterói;AISP 12;RISP 04;Via pública;masculino; ;preta;Sem informação;sem informação;Nenhuma;sem informação;sem informação;18/02/2018;18/02/2018; 
11454211-2018;2018;fevereiro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;081a. Itaipú;081a. Itaipú;17:49:24;02:40;Itaipu;Niterói;AISP 12;RISP 04;Via pública;masculino;16;branca;1º Grau incompleto;Estudante;Nenhuma;Parque eldorado;Marica;18/02/2018;18/02/2018;23/04/2001
11457961-2018;2018;fevereiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;071a. Itaboraí;15:44:37;08:40;Quissama;Itaboraí;AISP 35;RISP 04;Via pública;masculino;18;parda;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;26/02/2018;26/02/2018;24/03/1999
11467191-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;126a. Cabo Frio;126a. Cabo Frio;00:42:08;20:00;Unamar;Cabo Frio;AISP 25;RISP 04;Via pública;masculino;23;ignorado;Ignorado;sem informação;Nenhuma;Unamar;Cabo frio;14/05/2018;14/05/2018;2/05/1995
11483381-2018;2018;julho;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;034a. Bangu;02:20:03;00:00;Bangu;Rio de Janeiro;AISP 14;RISP 02;Sem informação;masculino; ;ignorado;Sem informação;sem informação;Ignorado;sem informação;sem informação;7/07/2018;7/07/2018; 
11484611-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;055a. Queimados;19:57:14;16:20;Vila central;Queimados;AISP 24;RISP 03;Via pública;masculino;27;parda;Alfabetizado(a);Ignorado;Ignorado;Sao miguel;Queimados;7/05/2018;7/05/2018;7/03/1991
11600222-2018;2018;janeiro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;004a. Praça da República;004a. Praça da República;10:28:27;05:40;Centro;Rio de Janeiro;AISP 05;RISP 01;Hospital, clinica e similares;masculino;27;parda;Ignorado;Ignorado;Nenhuma;Triagem;Rio de janeiro;23/01/2018;24/01/2018;11/04/1990
11604931-2018;2018;agosto;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;118a. Araruama;118a. Araruama;14:49:40;08:00;Balneario de praia seca.;Araruama;AISP 25;RISP 04;Via pública;masculino;31;branca;1º Grau incompleto;Ajudante de caminhão;Ignorado;Praia linda;Sao pedro da aldeia;6/08/2018;6/08/2018;16/07/1987
11604931-2018;2018;agosto;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;118a. Araruama;118a. Araruama;14:49:40;08:00;Balneario de praia seca.;Araruama;AISP 25;RISP 04;Via pública;masculino;22;preta;1º Grau incompleto;Desempregado(a);Ignorado;Praia linda;Sao pedro da aldeia;6/08/2018;6/08/2018;18/08/1995
11622591-2018;2018;janeiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;033a. Realengo;21:32:22;10:30;Sulacap;Rio de Janeiro;AISP 14;RISP 02;Via pública;masculino;29;preta;2º Grau completo;Outros;Ignorado;Campo grande;sem informação;24/01/2018;24/01/2018;15/05/1988
11626101-2018;2018;outubro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;058a. Posse;00:23:36;00:00;Grama;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;22;parda;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;4/10/2018;3/10/2018;24/11/1995
11626101-2018;2018;outubro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;058a. Posse;00:23:36;00:00;Grama;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;19;parda;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;4/10/2018;3/10/2018;3/05/1999
11638511-2018;2018;julho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;056a. Comendador Soares;08:58:42;00:15;Vila sao luiz;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino;26;parda;Ignorado;Ignorado;Nenhuma;Jd. da viga;Nova iguacu;6/07/2018;7/07/2018;8/06/1992
11695191-2018;2018;junho;Homicídio Provocado por Emprego de Arma Branca;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;075a. Rio do Ouro;13:45:34;08:00;Arsenal;São Gonçalo;AISP 07;RISP 04;Residência;masculino;42;parda;Ignorado;Ignorado;Vizinho(a);sem informação;sem informação;29/06/2018;29/06/2018;5/03/1976
11714481-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;089a. Resende;089a. Resende;10:54:23;23:00;Cabral;Resende;AISP 37;RISP 05;Via pública;masculino;18;preta;Ignorado;Ignorado;Nenhuma;Cabral;Resende;1/03/2018;1/03/2018;16/05/1999
11714481-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo - Tentativa;Tentativa de homicídio;não se aplica;Não;vítimas;089a. Resende;089a. Resende;10:54:23;23:10;Cabral;Resende;AISP 37;RISP 05;Via pública;masculino; ;parda;Ignorado;Ignorado;Nenhuma;Cabral;Resende;1/03/2018;1/03/2018; 
11730011-2018;2018;agosto;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;038a. Braz de Pina;22:44:14;20:30;Bras de pina;Rio de Janeiro;AISP 16;RISP 01;Via pública;masculino;32;preta;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;1/08/2018;1/08/2018;15/05/1986
11733141-2018;2018;fevereiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;012a. Copacabana;013a. Ipanema;00:52:09;11:00;Copacabana;Rio de Janeiro;AISP 19;RISP 01;Favela;masculino; ;ignorado;Sem informação;sem informação;Nenhuma;sem informação;sem informação;24/02/2018;25/02/2018; 
11754381-2018;2018;dezembro;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;004a. Praça da República;23:56:46;19:35;Centro;Rio de Janeiro;AISP 05;RISP 01;Residência;masculino;24;branca;Ignorado;Ignorado;Ignorado;sem informação;sem informação;10/12/2018;10/12/2018;1/01/1994
11786331-2018;2018;novembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios de Niterói e São Gonçalo;075a. Rio do Ouro;17:01:54;14:55;Tribobo;São Gonçalo;AISP 07;RISP 04;Via pública;masculino;26;preta;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;25/11/2018;25/11/2018;31/05/1992
11795081-2018;2018;fevereiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;005a. Mem de Sá;05:49:05;02:56;Centro;Rio de Janeiro;AISP 05;RISP 01;Via pública;masculino;38;parda;Ignorado;Ignorado;Ignorado;Centro;Rio de janeiro;14/02/2018;14/02/2018;24/06/1979
11817391-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;021a. Bonsucesso;06:31:47;05:13;Bonsucesso;Rio de Janeiro;AISP 22;RISP 01;Favela;masculino;30;parda;1º Grau completo;Desempregado(a);Ignorado;Favela nova holanda/bonsucesso;Niteroi;1/05/2018;1/05/2018;19/08/1987
11838381-2018;2018;fevereiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;125a. São Pedro da Aldeia;125a. São Pedro da Aldeia;19:20:24;22:20;< bairro nao cadastrado >;São Pedro da Aldeia;AISP 25;RISP 04;Via pública;masculino;35;preta;2º Grau completo;Motorista;Nenhuma;< bairro nao cadastrado >;Sao pedro da aldeia;8/02/2018;8/02/2018;14/12/1982
11894741-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;146a. Guarus;146a. Guarus;08:41:03;20:30;Parque guarus;Campos dos Goytacazes;AISP 08;RISP 06;Via pública;masculino;21;preta;2º Grau incompleto;Desocupado(a);Ignorado;Pq guarus;sem informação;12/05/2018;12/05/2018;8/08/1996
11894741-2018;2018;maio;Recuperação de Veículo Roubado;Recuperação de veículo;não se aplica;Não;casos;146a. Guarus;146a. Guarus;08:41:03;23:00;Parque visconde de ururai;Campos dos Goytacazes;AISP 08;RISP 06;Via pública;não se aplica; ;não se aplica;não se aplica;não se aplica;Não se aplica;não se aplica;não se aplica;12/05/2018;12/05/2018; 
11902461-2018;2018;abril;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;058a. Posse;00:41:22;00:00;Adrianopolis;Nova Iguaçu;AISP 20;RISP 03;Via pública;masculino; ;preta;Sem informação;sem informação;Ignorado;sem informação;sem informação;9/04/2018;9/04/2018; 
11976841-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;060a. Campos Elíseos;062a. Imbariê;09:14:52;10:14;Chacaras rio-petropolis;Duque de Caxias;AISP 15;RISP 03;Semáforo;masculino;22;preta;1º Grau incompleto;Ignorado;Ignorado;Parque da estrela;Mage;11/05/2018;11/05/2018;29/03/1996
11994751-2018;2018;março;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;035a. Campo Grande;21:44:27;14:00;Campo grande;Rio de Janeiro;AISP 40;RISP 02;Via pública;masculino; ;parda;Sem informação;sem informação;Ignorado;sem informação;sem informação;3/03/2018;3/03/2018; 
11996731-2018;2018;dezembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;051a. Paracambí;13:27:56;21:00;Ponte coberta;Paracambi;AISP 24;RISP 03;Via pública;masculino;52;branca;2º Grau completo;Balconista;Ignorado;Caicara;Pirai;9/12/2018;10/12/2018;3/03/1966
12064111-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;089a. Resende;089a. Resende;02:43:17;09:00;Alegria;Resende;AISP 37;RISP 05;Via pública;masculino;36;parda;2º Grau completo;Policial militar;Ignorado;Vila isabel;Resende;15/09/2018;15/09/2018;28/11/1981
12076581-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;036a. Santa Cruz;10:43:44;08:00;Santa cruz;Rio de Janeiro;AISP 27;RISP 02;Condomínio;masculino;51;parda;Ignorado;Ignorado;Ignorado;sem informação;sem informação;20/09/2018;20/09/2018;13/06/1967
12132321-2018;2018;março;Homicídio Provocado por Asfixia;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;053a. Mesquita;00:40:37;01:30;Santo elias;Mesquita;AISP 20;RISP 03;Residência;masculino;42;branca;2º Grau completo;Vigilante;Outra;Centro;Mesquita;5/03/2018;5/03/2018;8/04/1975
12133121-2018;2018;junho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;130a. Quissamã;130a. Quissamã;18:16:49;12:00;Praia do paulista;Quissamã;AISP 32;RISP 06;Via pública;masculino; ;ignorado;Sem informação;sem informação;Nenhuma;sem informação;sem informação;9/06/2018;9/06/2018; 
12149011-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;032a. Taquara;17:07:50;20:20;Rio das pedras;Rio de Janeiro;AISP 18;RISP 02;Via pública;masculino; ;preta;Sem informação;sem informação;Ignorado;sem informação;sem informação;16/09/2018;16/09/2018; 
12173181-2018;2018;agosto;Homicídio (outros);Homicídio doloso;não se aplica;Não;vítimas;123a. Macaé;123a. Macaé;20:13:18;14:30;< bairro nao cadastrado >;Macaé;AISP 32;RISP 06;Residência;masculino;43;preta;Ignorado;Ignorado;Ignorado;< bairro nao cadastrado >;Macae;25/08/2018;25/08/2018;7/08/1975
12178731-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;118a. Araruama;118a. Araruama;18:06:59;16:00;Bananeiras;Araruama;AISP 25;RISP 04;Via pública;masculino; ;parda;Sem informação;sem informação;Nenhuma;sem informação;sem informação;26/05/2018;26/05/2018; 
12213441-2018;2018;agosto;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;093a. Volta Redonda;093a. Volta Redonda;13:59:22;22:00;Santo agostinho;Volta Redonda;AISP 28;RISP 05;Via pública;masculino;37;preta;1º Grau incompleto;Auxiliar de serviços gerais;Ignorado;Santo agostinho;Volta redonda;18/08/2018;19/08/2018;26/11/1980
12215911-2018;2018;julho;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Capital;021a. Bonsucesso;13:19:51;06:20;sem informação;Rio de Janeiro;AISP 22;RISP 01;Ignorado;masculino;25;preta;Alfabetizado(a);Desempregado(a);Ignorado;Cavalcanti;Rio de janeiro;27/07/2018;27/07/2018;7/10/1992
12249751-2018;2018;maio;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;064a. Vilar dos Teles;01:03:42;19:40;Centro;São João de Meriti;AISP 21;RISP 03;Via pública;masculino;53;parda;Ignorado;Ignorado;Ignorado;Vila norma;Sao joao de meriti;26/05/2018;26/05/2018;7/01/1965
12262571-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;134a. Campos;134a. Campos;01:11:52;07:00;sem informação;Campos dos Goytacazes;AISP 08;RISP 06;Outros;masculino;64;preta;Ignorado;Ignorado;Nenhuma;sem informação;Campos dos goytacazes;4/09/2018;4/09/2018;10/03/1954
12262571-2018;2018;setembro;Apreensão de Veículo;Outros;não se aplica;Não;casos;134a. Campos;134a. Campos;01:11:52;07:00;sem informação;Campos dos Goytacazes;AISP 08;RISP 06;Via pública;não se aplica; ;não se aplica;não se aplica;não se aplica;Não se aplica;não se aplica;não se aplica;4/09/2018;4/09/2018; 
12278932-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;063a. Japerí;14:30:16;04:00;Teofilo cunha, eng.pedreira;Japeri;AISP 24;RISP 03;Via pública;masculino;24;parda;Ignorado;Ignorado;Nenhuma;Areal;sem informação;13/09/2018;13/09/2018;24/10/1993
12278932-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;063a. Japerí;14:30:16;04:00;Teofilo cunha, eng.pedreira;Japeri;AISP 24;RISP 03;Via pública;masculino;26;parda;Ignorado;Ignorado;Nenhuma;sem informação;sem informação;13/09/2018;13/09/2018;3/01/1992
12278932-2018;2018;setembro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;063a. Japerí;14:30:16;04:00;Teofilo cunha, eng.pedreira;Japeri;AISP 24;RISP 03;Via pública;masculino; ;parda;Sem informação;sem informação;Nenhuma;sem informação;sem informação;13/09/2018;13/09/2018; 
12278941-2018;2018;janeiro;Homicídio Provocado por Projétil de Arma de Fogo;Homicídio doloso;não se aplica;Não;vítimas;Delegacia de Homicídios da Baixada Fluminense;063a. Japerí;08:11:48;02:40;Sao jorge;Japeri;AISP 24;RISP 03;Via pública;masculino;16;preta;Ignorado;Ignorado;Ignorado;Sao jorge;Japeri;3/01/2018;3/01/2018;1/02/2001
